myID,Occupation,Total Employed,Women Percent,White Percent,Black Or African American Percent,Asian Percent,Hispanic Or Latino Percent,ParentID
6,"Total, 16 years and over",147795,46.8,78.0,12.1,6.4,17.6,6
7,"Management, professional, and related occupations",63644,51.7,78.7,9.7,8.6,10.4,6
8,"Management, business, and financial operations occupations",27143,44.6,81.7,8.8,6.7,10.9,7
9,Management occupations,18564,40.4,83.4,8.0,5.8,10.7,7
10,Chief executives,1669,29.3,88.0,4.3,5.4,7.4,8
11,General and operations managers,1057,30.5,84.4,7.1,4.5,12.4,8
12,Legislators,25,-1,-1,-1,-1,-1,8
13,Advertising and promotions managers,56,52.1,80.5,14.7,3.9,3.5,8
14,Marketing managers,554,60.7,84.1,5.5,7.6,9.9,8
15,Sales managers,521,30.9,87.6,5.8,4.2,7.6,8
16,Public relations and fundraising managers,95,66.4,91.0,4.3,2.3,7.6,8
17,Administrative services managers,65,71.7,83.4,9.5,6.5,16.9,8
18,Facilities managers,134,25.0,90.1,4.9,2.4,12.6,8
19,Computer and information systems managers,744,26.6,75.5,7.0,15.5,5.2,8
20,Financial managers,1309,52.6,79.4,9.7,8.2,9.9,8
21,Compensation and benefits managers,18,-1,-1,-1,-1,-1,8
22,Human resources managers,287,76.8,81.0,12.0,4.9,14.0,8
23,Training and development managers,52,55.8,85.4,9.2,0.2,10.1,8
24,Industrial production managers,272,22.6,84.3,5.9,7.2,13.5,8
25,Purchasing managers,212,45.8,83.2,12.1,3.1,7.3,8
26,"Transportation, storage, and distribution managers",300,21.3,79.3,10.7,6.1,17.2,8
27,"Farmers, ranchers, and other agricultural managers",901,25.1,96.3,0.7,0.8,4.3,8
28,Construction managers,966,8.4,91.4,3.3,2.9,14.5,8
29,Education and childcare administrators,948,66.5,79.5,14.3,3.3,12.0,8
30,Architectural and engineering managers,171,9.5,84.2,3.4,9.5,4.7,8
31,Food service managers,1092,46.6,77.7,9.8,9.4,19.8,8
32,Funeral home managers,10,-1,-1,-1,-1,-1,8
33,Entertainment and recreation managers,40,-1,-1,-1,-1,-1,8
34,Lodging managers,123,56.0,74.8,12.4,10.4,11.2,8
35,Medical and health services managers,711,70.3,77.6,13.3,5.6,11.5,8
36,Natural sciences managers,16,-1,-1,-1,-1,-1,8
37,Postmasters and mail superintendents,24,-1,-1,-1,-1,-1,8
38,"Property, real estate, and community association managers",781,48.5,84.7,8.6,3.5,12.9,8
39,Social and community service managers,424,72.5,75.9,18.3,2.1,10.3,8
40,Emergency management directors,12,-1,-1,-1,-1,-1,8
41,"Personal service managers, all other",2,-1,-1,-1,-1,-1,8
42,"Managers, all other",4969,37.5,83.2,8.1,5.9,10.4,7
43,Business and financial operations occupations,8578,53.9,78.0,10.5,8.7,11.2,7
44,"Agents and business managers of artists, performers, and athletes",36,-1,-1,-1,-1,-1,42
45,"Buyers and purchasing agents, farm products",10,-1,-1,-1,-1,-1,42
46,"Wholesale and retail buyers, except farm products",178,52.7,82.8,9.7,5.8,14.9,42
47,"Purchasing agents, except wholesale, retail, and farm products",230,52.0,81.1,11.9,3.9,11.3,42
48,"Claims adjusters, appraisers, examiners, and investigators",350,60.4,71.6,19.8,4.5,15.0,42
49,Compliance officers,305,57.1,75.4,12.0,7.5,8.6,42
50,Cost estimators,121,15.0,93.7,2.9,2.0,14.1,42
51,Human resources workers,832,74.3,76.9,13.0,5.8,15.1,42
52,"Compensation, benefits, and job analysis specialists",74,76.0,84.6,11.2,2.2,9.7,42
53,Training and development specialists,115,57.1,82.1,13.2,2.7,14.1,42
54,Logisticians,147,38.1,82.6,11.8,4.4,20.6,42
55,Project management specialists,715,44.4,77.5,12.3,7.9,11.1,42
56,Management analysts,997,42.7,77.8,8.4,11.9,9.3,42
57,"Meeting, convention, and event planners",118,73.7,85.8,7.7,4.8,11.9,42
58,Fundraisers,99,74.8,85.0,3.7,8.4,7.4,42
59,Market research analysts and marketing specialists,438,58.6,82.8,6.5,8.1,9.1,42
60,"Business operations specialists, all other",308,57.3,72.6,12.4,11.3,9.7,42
61,Accountants and auditors,1696,59.7,77.3,9.5,11.2,10.2,42
62,Property appraisers and assessors,86,29.7,96.5,2.3,1.2,6.0,42
63,Budget analysts,60,53.2,69.6,13.9,7.6,14.9,42
64,Credit analysts,30,-1,-1,-1,-1,-1,42
65,Financial and investment analysts,351,41.6,68.5,7.8,21.0,10.2,42
66,Personal financial advisors,514,34.0,78.5,7.9,10.7,8.2,42
67,Insurance underwriters,102,58.0,78.6,9.3,6.2,11.9,42
68,Financial examiners,25,-1,-1,-1,-1,-1,42
69,Credit counselors and loan officers,400,54.4,79.0,13.1,4.7,12.4,42
70,"Tax examiners and collectors, and revenue agents",61,57.9,76.6,14.5,5.8,15.9,42
71,Tax preparers,96,67.6,81.9,13.9,3.9,17.4,42
72,Other financial specialists,82,54.2,71.0,15.5,7.7,9.0,6
73,Professional and related occupations,36502,57.0,76.5,10.5,10.1,10.1,72
74,Computer and mathematical occupations,5603,25.2,65.4,9.1,23.0,8.4,72
75,Computer and information research scientists,42,-1,-1,-1,-1,-1,73
76,Computer systems analysts,594,35.6,68.0,9.7,18.7,8.1,73
77,Information security analysts,137,11.4,79.8,11.9,6.9,15.8,73
78,Computer programmers,417,21.1,63.9,6.3,28.3,6.6,73
79,Software developers,1883,19.4,57.5,6.2,34.1,5.9,73
80,Software quality assurance analysts and testers,82,25.1,57.6,12.0,29.6,9.2,73
81,Web developers,104,27.8,79.3,3.7,16.2,5.9,73
82,Web and digital interface designers,70,44.8,81.7,5.9,9.9,15.8,73
83,Computer support specialists,660,25.9,72.2,13.0,10.7,11.6,73
84,Database administrators and architects,121,28.8,62.1,5.9,30.1,5.6,73
85,Network and computer systems administrators,238,19.8,77.3,9.0,11.8,7.8,73
86,Computer network architects,107,9.3,67.8,14.8,15.5,16.1,73
