SN,Occupation,"Total Employed",Women,White,"Black or African American",Asian,"Hispanic or Latino",ParentId
1,"Total, 16 years and over","1,47,795",46.8,78,12.1,6.4,17.6,0
2,"Management, professional, and related occupations",63644,51.7,78.7,9.7,8.6,10.4,1
3,"Management, business, and financial operations occupations",27143,44.6,81.7,8.8,6.7,10.9,2
4,Management occupations,18564,40.4,83.4,8,5.8,10.7,3
5,Chief executives,1669,29.3,88,4.3,5.4,7.4,4
6,General and operations managers,1057,30.5,84.4,7.1,4.5,12.4,4
7,Legislators,25,0,0,0,0,0,4
8,Advertising and promotions managers,56,52.1,80.5,14.7,3.9,3.5,4
9,Marketing managers,554,60.7,84.1,5.5,7.6,9.9,4
10,Sales managers,521,30.9,87.6,5.8,4.2,7.6,4
11,Public relations and fundraising managers,95,66.4,91,4.3,2.3,7.6,4
12,Administrative services managers,65,71.7,83.4,9.5,6.5,16.9,4
13,Facilities managers,134,25,90.1,4.9,2.4,12.6,4
14,Computer and information systems managers,744,26.6,75.5,7,15.5,5.2,4
15,Financial managers,1309,52.6,79.4,9.7,8.2,9.9,4
16,Compensation and benefits managers,18,0,0,0,0,0,4
17,Human resources managers,287,76.8,81,12,4.9,14,4
18,Training and development managers,52,55.8,85.4,9.2,0.2,10.1,4
19,Industrial production managers,272,22.6,84.3,5.9,7.2,13.5,4
20,Purchasing managers,212,45.8,83.2,12.1,3.1,7.3,4
21,"Transportation, storage, and distribution managers",300,21.3,79.3,10.7,6.1,17.2,4
22,"Farmers, ranchers, and other agricultural managers",901,25.1,96.3,0.7,0.8,4.3,4
23,Construction managers,966,8.4,91.4,3.3,2.9,14.5,4
24,Education and childcare administrators,948,66.5,79.5,14.3,3.3,12,4
25,Architectural and engineering managers,171,9.5,84.2,3.4,9.5,4.7,4
26,Food service managers,1092,46.6,77.7,9.8,9.4,19.8,4
27,Funeral home managers,10,0,0,0,0,0,4
28,Entertainment and recreation managers,40,0,0,0,0,0,4
29,Lodging managers,123,56,74.8,12.4,10.4,11.2,4
30,Medical and health services managers,711,70.3,77.6,13.3,5.6,11.5,4
31,Natural sciences managers,16,0,0,0,0,0,4
32,Postmasters and mail superintendents,24,0,0,0,0,0,4
33,"Property, real estate, and community association managers",781,48.5,84.7,8.6,3.5,12.9,4
34,Social and community service managers,424,72.5,75.9,18.3,2.1,10.3,4
35,Emergency management directors,12,0,0,0,0,0,4
36,"Personal service managers, all other",2,0,0,0,0,0,4
37,"Managers, all other",4969,37.5,83.2,8.1,5.9,10.4,4
38,Business and financial operations occupations,8578,53.9,78,10.5,8.7,11.2,3
39,"Agents and business managers of artists, performers, and athletes",36,0,0,0,0,0,38
40,"Buyers and purchasing agents, farm products",10,0,0,0,0,0,38
41,"Wholesale and retail buyers, except farm products",178,52.7,82.8,9.7,5.8,14.9,38
42,"Purchasing agents, except wholesale, retail, and farm products",230,52,81.1,11.9,3.9,11.3,38
43,"Claims adjusters, appraisers, examiners, and investigators",350,60.4,71.6,19.8,4.5,15,38
44,Compliance officers,305,57.1,75.4,12,7.5,8.6,38
45,Cost estimators,121,15,93.7,2.9,2,14.1,38
46,Human resources workers,832,74.3,76.9,13,5.8,15.1,38
